,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,17,22,23,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,24,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,25,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,100,26,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,https://www.unj.ac.id/en/,https://www.unj.ac.id/in,https://www.unj.ac.id/en,https://www.unj.ac.id/en/sejarah-unj,https://www.unj.ac.id/en/visi-misi,https://www.unj.ac.id/en/statuta-unj-2,https://www.unj.ac.id/en/sotk,https://www.unj.ac.id/en/senat-universitas,http://www.unj.ac.id/en/pimpinan-universitas,https://www.unj.ac.id/en/dekan-fakultas-dan-direktur-pascasarjana,https://www.unj.ac.id/en/category/berita,https://www.unj.ac.id/en/kabarunj,https://www.unj.ac.id/en/category/dokumen,https://www.unj.ac.id/en/category/pengumuman,http://www.unj.ac.id/en/index.php/events/category/agenda,http://www.unj.ac.id/en/galeri-foto,http://www.unj.ac.id/en/rencana-strategis-bisnis,https://www.unj.ac.id/en/rencana-bisnis-anggaran-2019,https://www.unj.ac.id/en/rencana-bisnis-anggaran-2017,https://www.unj.ac.id/en/rencana-bisnis-anggaran-2018,https://ppid.unj.ac.id/arsip/lakin,https://ppid.unj.ac.id/akreditasi,https://ppid.unj.ac.id/buku-pedoman-akademik-unj,http://ppid.unj.ac.id,https://ppid.unj.ac.id/arsip/lakin#main,https://ppid.unj.ac.id/profil,https://ppid.unj.ac.id/visi-misi,https://ppid.unj.ac.id/tugas-fungsi,https://ppid.unj.ac.id/struktur-organisasi,https://ppid.unj.ac.id/regulasi,https://ppid.unj.ac.id/informasi-yang-wajib-disediakan-dan-diumumkan-secara-berkala,https://ppid.unj.ac.id/informasi-yang-wajib-diumumkan-secara-serta-merta,https://ppid.unj.ac.id/informasi-yang-wajib-tersedia-setiap-saat,https://ppid.unj.ac.id/maklumat-pelayanan,https://ppid.unj.ac.id/waktu-lokasi,https://ppid.unj.ac.id/permohonan-informasi,https://ppid.unj.ac.id/pengajuan-keberatan,https://ppid.unj.ac.id/penyelesaian-sengketa-informasi,https://ppid.unj.ac.id/survei,https://ppid.unj.ac.id/pengaduan,http://fip.unj.ac.id,https://fip.unj.ac.id,https://fip.unj.ac.id/?page_id=681,https://fip.unj.ac.id/?page_id=1001,https://fip.unj.ac.id/?page_id=1003,https://fip.unj.ac.id/?page_id=327,https://fip.unj.ac.id/?page_id=3578,https://fip.unj.ac.id/?page_id=3575,https://fip.unj.ac.id/?page_id=3563,https://fip.unj.ac.id/?page_id=1158,https://fip.unj.ac.id/?page_id=1026,https://fip.unj.ac.id/tp,https://fip.unj.ac.id/mp,https://fip.unj.ac.id/pls,https://fip.unj.ac.id/plb,https://fip.unj.ac.id/paud,https://fip.unj.ac.id/bk,https://fip.unj.ac.id/pgsd,https://fip.unj.ac.id/s2bk,https://fip.unj.ac.id/s2tp,http://fbs.unj.ac.id,http://fbs.unj.ac.id#content,http://fbs.unj.ac.id#mobile-menu,https://fbs.unj.ac.id,https://fbs.unj.ac.id/?page_id=4873,https://fbs.unj.ac.id/?page_id=322,https://fbs.unj.ac.id/?page_id=10502,https://fbs.unj.ac.id/?page_id=10467,https://fbs.unj.ac.id/?page_id=10494,https://fbs.unj.ac.id/?page_id=10519,https://fbs.unj.ac.id/gpjm,https://fbs.unj.ac.id/?p=10258,https://fbs.unj.ac.id/?cat=12,https://fbs.unj.ac.id/?p=10249,https://fbs.unj.ac.id/?p=10233,https://fbs.unj.ac.id/?p=10239,https://fbs.unj.ac.id/?p=10225,https://fbs.unj.ac.id/?p=10204,http://fbs.unj.ac.id#header,https://fbs.unj.ac.id#content,http://fmipa.unj.ac.id,https://fmipa.unj.ac.id/mipabaru,https://fmipa.unj.ac.id/mipabaru/sejarah,https://fmipa.unj.ac.id/mipabaru/visi-dan-misi,https://fmipa.unj.ac.id/mipabaru/struktur-organisasi,https://fmipa.unj.ac.id/mipabaru/tenaga-pendidik,https://fmipa.unj.ac.id/mipabaru/tenaga-kependidikan,https://fmipa.unj.ac.id/penmat,https://fmipa.unj.ac.id/pfisika,https://fmipa.unj.ac.id/pkimia,https://fmipa.unj.ac.id/pbiologi,https://fmipa.unj.ac.id/mtk,https://fmipa.unj.ac.id/fisika,https://fmipa.unj.ac.id/kimia,https://fmipa.unj.ac.id/biologi,https://fmipa.unj.ac.id/siskom,https://fmipa.unj.ac.id/statistika,https://fmipa.unj.ac.id/s2pmath,https://fmipa.unj.ac.id/s2fisika,https://fmipa.unj.ac.id/s2pendkimia
1,https://www.unj.ac.id/en/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,https://www.unj.ac.id/in,0.03846154,0.11111111,0.03846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,https://www.unj.ac.id/en,0.03846154,0.11111111,0.03846154,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0,0.5,0.0
4,https://www.unj.ac.id/en/sejarah-unj,0.03846154,0.0,0.03846154,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,https://www.unj.ac.id/en/visi-misi,0.03846154,0.0,0.03846154,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,https://www.unj.ac.id/en/statuta-unj-2,0.03846154,0.0,0.03846154,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,https://www.unj.ac.id/en/sotk,0.03846154,0.0,0.03846154,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,https://www.unj.ac.id/en/senat-universitas,0.03846154,0.0,0.03846154,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
